Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Author (product.metafields.custom.author),Binding (product.metafields.custom.binding),Canonical Handle (product.metafields.custom.canonical_handle),Inventory Log (product.metafields.custom.inventory_log),Language (product.metafields.custom.language),Location (product.metafields.custom.location),Non-Alcoholic (product.metafields.custom.non_alcoholic),Preorder Override Date (product.metafields.custom.preorder_override_date),Product Details (product.metafields.custom.product_details),Publication Date (product.metafields.custom.pub_date),Cuisine (product.metafields.custom.region),Reserve (product.metafields.custom.reserve),Shelf (product.metafields.custom.shelf),Specialization (product.metafields.custom.special),Special Diet (product.metafields.custom.special_diet),Spirits (product.metafields.custom.spirits),Wine (product.metafields.custom.wine),Growave raw rating (product.metafields.growave.raw_rating_string),Growave rounded rating (product.metafields.growave.rounded_rating_string),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Art style (product.metafields.shopify.art-style),Book cover type (product.metafields.shopify.book-cover-type),Color (product.metafields.shopify.color-pattern),Condition (product.metafields.shopify.condition),Fabric (product.metafields.shopify.fabric),Genre (product.metafields.shopify.genre),Headwear features (product.metafields.shopify.headwear-features),Language version (product.metafields.shopify.language-version),Material (product.metafields.shopify.material),Media access (product.metafields.shopify.media-access),Media theme (product.metafields.shopify.media-theme),Medium (product.metafields.shopify.medium),Publication frequency (product.metafields.shopify.publication-frequency),Signature placement (product.metafields.shopify.signature-placement),Target audience (product.metafields.shopify.target-audience),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
dryads,Dryads:: Spirits of the Trees,"<p><b>This is a *Featured Preorder for a title releasing on June 16, 2026.</b></p><p><em><strong>This is what the publisher tells us about this book:</strong></em></p>
<strong><strong>The first-ever book on an emerging category of spirits poised to shake up the cocktail world—illuminated by the author’s world-spanning travels</strong></strong></div><div>Spirits are typically grouped by their source materials: whiskeys are distilled from grains, rum from sugarcane, brandies from fruits, and so forth. Now another category of spirits, ancient but underrecognized, is emerging in the global marketplace: those distilled from tree saps, which this book christens <em>dryads</em>. Dryads range from <em>arrack</em>, distilled from coconut palm sap in Sri Lanka; to <em>ogorogo</em>, distilled from raffia palm sap in Nigeria; to <em>acerum</em>, distilled from maple sap in Quebec. Each dryad has its own distinctive flavor profile and tradition; together, they are expanding the horizons of cocktail culture.<br> <br> In this abundantly illustrated volume, Brian D. Hoefling—the critically acclaimed author of <em>The Cocktail Seminars</em>—explores the history, culture, and production of each of the major types of dryad. Through his extensive on-the-ground research, Hoefling also shows us how to enjoy these spirits, assembling some sixty outstanding cocktail recipes, each accompanied by a photo. Many of the recipes employ ingredients that the home bartender will have at hand, while others highlight unique local ingredients that serious mixologists will be eager to add to their repertoire. A companion website details which dryad brands are available for purchase in each U.S. state.<br> <br> Bringing together the strands of a cultural tradition that stretch from Sweden to Sri Lanka, from Bali to Benin, and from Manila to Montreal, this groundbreaking book will be an essential resource for hospitality professionals, cocktail connoisseurs, and culinary travelers alike.<br> <br></div></div>
<p><b>* Featured Preorder books earn you an <i>extra </i>150 rewards points, good for $5 off a future purchase. If you're not already a member of our rewards program you can <a href=""https://www.kitchenartsandletters.com/pages/reward""><b>learn more about all the ways to earn points and sign up here.</b></a> It's as simple as creating a store account.</b></p>",WWN,Media > Books > Print Books,BOOK,"Ln_En, 06-16-2026, C",FALSE,Title,Default,,,,,,,,Brian D. Hoefling,2268,shopify,continue,manual,39.95,,TRUE,TRUE,,,,,9780789215055,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9780789215055.jpg,1,Book Cover: Dryads,,Dryads,,Media > Books,,,,new,FALSE,,,,,,Brian D. Hoefling,Hardcover,dryads,,English,,,,,2026-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,4901.99,,draft
dryads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9780789215055-1.jpg,2,Interior image 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dryads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9780789215055-2.jpg,3,Interior image 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dryads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9780789215055-3.jpg,4,Interior image 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dryads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9780789215055-4.jpg,5,Interior image 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dryads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9780789215055-5.jpg,6,Interior image 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
