Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Author (product.metafields.custom.author),Binding (product.metafields.custom.binding),Canonical Handle (product.metafields.custom.canonical_handle),Inventory Log (product.metafields.custom.inventory_log),Language (product.metafields.custom.language),Location (product.metafields.custom.location),Non-Alcoholic (product.metafields.custom.non_alcoholic),Preorder Override Date (product.metafields.custom.preorder_override_date),Product Details (product.metafields.custom.product_details),Publication Date (product.metafields.custom.pub_date),Cuisine (product.metafields.custom.region),Reserve (product.metafields.custom.reserve),Shelf (product.metafields.custom.shelf),Specialization (product.metafields.custom.special),Special Diet (product.metafields.custom.special_diet),Spirits (product.metafields.custom.spirits),Wine (product.metafields.custom.wine),Growave raw rating (product.metafields.growave.raw_rating_string),Growave rounded rating (product.metafields.growave.rounded_rating_string),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Art style (product.metafields.shopify.art-style),Book cover type (product.metafields.shopify.book-cover-type),Color (product.metafields.shopify.color-pattern),Condition (product.metafields.shopify.condition),Fabric (product.metafields.shopify.fabric),Genre (product.metafields.shopify.genre),Headwear features (product.metafields.shopify.headwear-features),Language version (product.metafields.shopify.language-version),Material (product.metafields.shopify.material),Media access (product.metafields.shopify.media-access),Media theme (product.metafields.shopify.media-theme),Medium (product.metafields.shopify.medium),Publication frequency (product.metafields.shopify.publication-frequency),Signature placement (product.metafields.shopify.signature-placement),Target audience (product.metafields.shopify.target-audience),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
recipes-for-the-melting-pot,Recipes for the Melting Pot:: The Lives of The Settlement Cook Book,"<p><b>This is a *Featured Preorder for a title releasing on June 16, 2026.</b></p><p><em><strong>This is what the publisher tells us about this book:</strong></em></p>
In 1901, Lizzie Black Kander put together a cookbook based on the classes she taught at the Milwaukee Jewish Mission. “I was trying to teach a group of young foreign girls in a crowded neighborhood how to cook simple and nutritious food, yet have it attractive and inexpensive as we prepare it in America,” she recalled. <i>The Settlement Cook Book</i> would go on to be the most successful charitable cookbook in American history, remaining a best-seller into the 1970s. Despite including nonkosher recipes, it became a mainstay in Jewish kitchens and an enduring touchstone of Jewish American culture.<br><br><i>Recipes for the Melting Pot</i> tells the remarkable story of <i>The Settlement Cook Book</i>, demonstrating how it shaped Jewish American identity—and was in turn shaped by generations of Jewish women. Nora L. Rubel traces the cookbook’s evolution across forty editions over several decades, through waves of immigration, shifting gender roles, upward mobility, suburbanization, and rapid changes in Jewish life. She argues that the book celebrates pluralism, allowing it to serve at once as a tool for Americanization, a repository of tradition, and a platform for culinary innovation. Ultimately, <i>The Settlement Cook Book</i> is a record of American Jewish women’s history, told through the food they made and the lives they led. A cultural biography of an iconic cookbook, this lively and inviting book shares an inclusive vision of American cuisine.</div></div>
<p><b>* Featured Preorder books earn you an <i>extra </i>150 rewards points, good for $5 off a future purchase. If you're not already a member of our rewards program you can <a href=""https://www.kitchenartsandletters.com/pages/reward""><b>learn more about all the ways to earn points and sign up here.</b></a> It's as simple as creating a store account.</b></p>",UCOL,Media > Books > Print Books,BOOK,"Ln_En, 06-16-2026",FALSE,Title,Default,,,,,,,,Nora L. Rubel,2268,shopify,continue,manual,28.00,,TRUE,TRUE,,,,,9780231224345,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9780231224345.jpg,1,Book Cover: Recipes for the Melting Pot,,Recipes for the Melting Pot,,Media > Books,,,,new,FALSE,,,,,,Nora L. Rubel,,recipes-for-the-melting-pot,,English,,,,,2026-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,4901.99,,draft
get-it-while-its-hot,"Get It While It's Hot:: Gas Station, Roadside, and Convenience Cuisine in the U.S. South","<p><b>This is a *Featured Preorder for a title releasing on April 24, 2026.</b></p><p><em><strong>This is what the publisher tells us about this book:</strong></em></p>
Afterword by Psyche A. Williams-Forson</div><div><p><i>Get It While It’s Hot</i> brings together scholars, food writers, influencers, and even a CEO to discuss the phenomenon of eating by the side of the road. This innovative collection examines an increasingly commonplace belief across the U.S. South—that some of the best, most enjoyable food comes from places you would not expect: a gas station, the back of a pickup truck, or a ramshackle building made of plywood.<br><br>The essays collected here look at the delicious food that can be found in such spaces, but also at the ways that gas station, roadside, and convenience cuisine contributes to the social and cultural identities of people and communities in the U.S. South. Sometimes these roadside spaces serve goals of equity and food justice as they relate particularly to race, class, and gender, and sometimes they stymy them. Contributors address the importance of roadside vendors to low-income areas and communities of color, while also revealing how gas stations and convenience stores are particularly prone to anti-Black surveillance and community gatekeeping. Several essays examine the appearance of service stations and unconventional food vendors in southern literature. Interviews with photojournalist Kate Medley, social media influencer Stafford Shurden, and Stuckey’s CEO Stephanie Stuckey provide firsthand perspectives on the diverse landscapes of food culture in the South.<br><br>By surveying the importance of roadside and convenience cuisine to communities across the region, <i>Get It While It’s Hot</i> illustrates that these spaces do not function like typical restaurants. They mark boundaries of community, establish consistency and familiarity, and invite people, sometimes paradoxically, to pull up a chair and sit a while.</p></div></div>
<p><b>* Featured Preorder books earn you an <i>extra </i>150 rewards points, good for $5 off a future purchase. If you're not already a member of our rewards program you can <a href=""https://www.kitchenartsandletters.com/pages/reward""><b>learn more about all the ways to earn points and sign up here.</b></a> It's as simple as creating a store account.</b></p>",LSU,Media > Books > Print Books,BOOK,"Ln_En, 04-24-2026",FALSE,Title,Default,,,,,,,,"Constance Bailey (Edited by), Shelley Ingram (Edited by), Casey Kayser (Edited by), Autumn Arnett (Contributions by), Bailey Benson (Contributions by), Peter Jay Ingrao (Contributions by), Jaime Cantrell (Contributions by), Joseph T. Carson (Contributions by), Bruce A. Craft (Contributions by), Khirsten Doolan (Contributions by)",2268,shopify,continue,manual,34.95,,TRUE,TRUE,,,,,9780807186206,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9780807186206.jpg,1,Book Cover: Get It While It's Hot,,Get It While It's Hot,,Media > Books,,,,new,FALSE,,,,,,"Constance Bailey (Edited by), Shelley Ingram (Edited by), Casey Kayser (Edited by), Autumn Arnett (Contributions by), Bailey Benson (Contributions by), Peter Jay Ingrao (Contributions by), Jaime Cantrell (Contributions by), Joseph T. Carson (Contributions by), Bruce A. Craft (Contributions by), Khirsten Doolan (Contributions by)",,get-it-while-its-hot,,English,,,,,2026-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,4901.99,,draft
the-country-people,The Country People:: An Agricultural History of the American Revolution,"<p><b>This is a *Featured Preorder for a title releasing on August 01, 2026.</b></p><p><em><strong>This is what the publisher tells us about this book:</strong></em></p>
<p>Although historians have given considerable attention to the American Revolution, the agricultural history of the American War for Independence exists only in pieces found in scattered articles and passing references in various books dealing with the war. Nonagricultural historians have ignored it or treated it almost as an aside and unworthy of analysis, even when it is related to other war topics. Yet, the revolution had profound effects on American agriculture during the war and after.<br><br><i>The Country People</i> brings the many pieces of this story together in a synthesis that provides an overview of agriculture during the American Revolution—from 1774 until signing of the Peace of Paris on September 3, 1783. In so doing, preeminent agricultural historian R. Douglas Hurt asks (and answers) three essential questions: What did farmers do in their daily lives during the revolutionary years from 1774 to 1783? How did the war affect farmers and planters, and how did they influence the war? And what were the consequences of the war on American agriculture?</p></div></div>
<p><b>* Featured Preorder books earn you an <i>extra </i>150 rewards points, good for $5 off a future purchase. If you're not already a member of our rewards program you can <a href=""https://www.kitchenartsandletters.com/pages/reward""><b>learn more about all the ways to earn points and sign up here.</b></a> It's as simple as creating a store account.</b></p>",UGA,Media > Books > Print Books,BOOK,"Ln_En, 08-01-2026",FALSE,Title,Default,,,,,,,,R. Douglas Hurt,2268,shopify,continue,manual,32.95,,TRUE,TRUE,,,,,9780820377193,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9780820377193.jpg,1,Book Cover: The Country People,,The Country People,,Media > Books,,,,new,FALSE,,,,,,R. Douglas Hurt,,the-country-people,,English,,,,,2026-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,4901.99,,draft
pitchfork-pulpit,Pitchfork Pulpit:: Wisdom and Practice in a Self-Reliant Life,"<p><b>This is a *Featured Preorder for a title releasing on January 27, 2026.</b></p><p><em><strong>This is what the publisher tells us about this book:</strong></em></p>
<b><b>For six&nbsp;years Joel Salatin's Pitchfork Pulpit column in The Mother Earth News magazine inspired and challenged readers.&nbsp;&nbsp;These columns, in the order they ran, preserve that timeless writing legacy for today's homesteading, small farming, and self-reliance community.</b></b><br><br>As America's iconic and fearless bootstrap farmsteader, Joel Salatin captures principles of practical success and philosophical wisdom in this series of essays originally published in Mother Earth News magazine.&nbsp;&nbsp;From stewarding a woodlot to managing aromatically-appealing chickens, his dirt-under-the-fingernails experience coaches readers to self-reliant success.&nbsp;&nbsp;Untangling from industrial corporate systems dependency is a lifelong process, and one that jumpstarts with this trove of advice.</div></div>
<p><b>* Featured Preorder books earn you an <i>extra </i>150 rewards points, good for $5 off a future purchase. If you're not already a member of our rewards program you can <a href=""https://www.kitchenartsandletters.com/pages/reward""><b>learn more about all the ways to earn points and sign up here.</b></a> It's as simple as creating a store account.</b></p>",RIZ,Media > Books > Print Books,BOOK,"Ln_En, 01-27-2026",FALSE,Title,Default,,,,,,,,Joel Salatin,2268,shopify,continue,manual,25.00,,TRUE,TRUE,,,,,9781733686648,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9781733686648.jpg,1,Book Cover: Pitchfork Pulpit,,Pitchfork Pulpit,,Media > Books,,,,new,FALSE,,,,,,Joel Salatin,,pitchfork-pulpit,,English,,,,,2026-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,4901.99,,draft
