Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Author (product.metafields.custom.author),Binding (product.metafields.custom.binding),Canonical Handle (product.metafields.custom.canonical_handle),Inventory Log (product.metafields.custom.inventory_log),Language (product.metafields.custom.language),Location (product.metafields.custom.location),Non-Alcoholic (product.metafields.custom.non_alcoholic),Preorder Override Date (product.metafields.custom.preorder_override_date),Product Details (product.metafields.custom.product_details),Publication Date (product.metafields.custom.pub_date),Cuisine (product.metafields.custom.region),Reserve (product.metafields.custom.reserve),Shelf (product.metafields.custom.shelf),Specialization (product.metafields.custom.special),Special Diet (product.metafields.custom.special_diet),Spirits (product.metafields.custom.spirits),Wine (product.metafields.custom.wine),Growave raw rating (product.metafields.growave.raw_rating_string),Growave rounded rating (product.metafields.growave.rounded_rating_string),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Art style (product.metafields.shopify.art-style),Book cover type (product.metafields.shopify.book-cover-type),Color (product.metafields.shopify.color-pattern),Condition (product.metafields.shopify.condition),Fabric (product.metafields.shopify.fabric),Genre (product.metafields.shopify.genre),Headwear features (product.metafields.shopify.headwear-features),Language version (product.metafields.shopify.language-version),Material (product.metafields.shopify.material),Media access (product.metafields.shopify.media-access),Media theme (product.metafields.shopify.media-theme),Medium (product.metafields.shopify.medium),Publication frequency (product.metafields.shopify.publication-frequency),Signature placement (product.metafields.shopify.signature-placement),Target audience (product.metafields.shopify.target-audience),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
a-seat-at-the-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9788836661107-3.jpg,4,Interior image 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-seat-at-the-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9788836661107-4.jpg,5,Interior image 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-seat-at-the-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9788836661107-5.jpg,6,Interior image 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-taste-of-hong-kong,A Taste of Hong Kong:: 70 Essential Recipes from Asia's World City,"<p><b>This is a *Featured Preorder for a title releasing on February 03, 2026.</b></p><p><em><strong>This is what the publisher tells us about this book:</strong></em></p>
<b><b>This sumptuous and deeply personal cookbook featuring 70 recipes&nbsp;opens the door to Hong Kong’s vibrant food culture, offering a flavorful mix of iconic dishes, everyday comforts, and modern twists.</b></b><br><br>Born in Hong Kong and raised between cultures, Davina Chang spent years abroad before realizing that her connection to home was rooted in taste: the texture of congee, the smell of pineapple buns, the clink of milk tea in a café.&nbsp;French native co-author Ada Deschanel has spent years studying Hong Kong’s food culture as a lens to understand the city, from its markets and cha&nbsp;chaan&nbsp;teng&nbsp;to its haute cuisine and street snacks. Through her work as a researcher, photographer, and writer, she documents how flavors, spaces, and gestures reveal the city’s layered identity. &nbsp;<br><br>Structured around the rhythm of a Hong Kong day,&nbsp;this beautifully illustrated&nbsp;book follows a “journey through meals”—from bakery breakfasts and dim sum brunches to noodle-shop lunches, street snacks, and family-style dinners. With 70 recipes, it offers everything from silky tomato-egg stir-fry and curry fish balls to sweet red bean soup and egg tarts. The dishes reflect the rich culinary heritage of Hong Kong and its Cantonese foundations, shaped by migration, colonial influences, and a distinct culture of adaptation.<br><br>Woven between the dishes are personal essays about identity, memory, and belonging—stories that ground the food in lived experience and cultural insight. Part cookbook, part coming-home story, <i>A Taste of Hong Kong</i> is an invitation to cook, connect, and rediscover a city through its flavors.</div></div>
<p><b>* Featured Preorder books earn you an <i>extra </i>150 rewards points, good for $5 off a future purchase. If you're not already a member of our rewards program you can <a href=""https://www.kitchenartsandletters.com/pages/reward""><b>learn more about all the ways to earn points and sign up here.</b></a> It's as simple as creating a store account.</b></p>",PRST,Media > Books > Print Books,BOOK,"Ln_En, 02-03-2026, C",FALSE,Title,Default,,,,,,,,"Davina Chang, Ada Deschanel",2268,shopify,continue,manual,35.00,,TRUE,TRUE,,,,,9783791391854,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9783791391854.jpg,1,Book Cover: A Taste of Hong Kong,,A Taste of Hong Kong,,Media > Books,,,,new,FALSE,,,,,,"Davina Chang, Ada Deschanel",Hardcover,a-taste-of-hong-kong,,English,,,,,2026-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,4901.99,,draft
a-taste-of-hong-kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9783791391854-1.jpg,2,Interior image 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-taste-of-hong-kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9783791391854-2.jpg,3,Interior image 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-taste-of-hong-kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9783791391854-3.jpg,4,Interior image 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
american-bacon,American Bacon:: The History of a Food Phenomenon,"<p><b>This is a *Featured Preorder for a title releasing on April 15, 2026.</b></p><p><em><strong>This is what the publisher tells us about this book:</strong></em></p>
In <i>American Bacon</i>, Mark A. Johnson asks (and answers) a seemingly simple question: How has bacon overcome centuries of religious prohibition, cultural contempt, and dietary advice to become a twenty-first-century culinary and cultural powerhouse? Starting in early modern Britain and tracing the story of bacon through the colonial era, Civil War, Progressive Era, modern fad diets, and the emerging craft bacon industry, Johnson provides a new perspective on some familiar American narratives. More than a story of production, marketing, and consumption, Johnson argues, this cultural history connects bacon to race, class, and gender while also illuminating major historical forces, such as migration, warfare, urbanization and suburbanization, reform movements, cultural trends, and globalization. For Johnson, bacon’s story from “most dangerous food in the supermarket” to pop culture and gastronomic phenomenon reflects the cultural values of a nation.</div></div>
<p><b>* Featured Preorder books earn you an <i>extra </i>150 rewards points, good for $5 off a future purchase. If you're not already a member of our rewards program you can <a href=""https://www.kitchenartsandletters.com/pages/reward""><b>learn more about all the ways to earn points and sign up here.</b></a> It's as simple as creating a store account.</b></p>",UGA,Media > Books > Print Books,BOOK,"Ln_En, 04-15-2026, C",FALSE,Title,Default,,,,,,,,Mark A. Johnson,2268,shopify,continue,manual,34.95,,TRUE,TRUE,,,,,9780820375403,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9780820375403.jpg,1,Book Cover: American Bacon,,American Bacon,,Media > Books,,,,new,FALSE,,,,,,Mark A. Johnson,Hardcover,american-bacon,,English,,,,,2026-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,4901.99,,draft
american-bacon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9780820375403-1.jpg,2,Interior image 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
american-bacon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9780820375403-2.jpg,3,Interior image 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
american-bacon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9780820375403-3.jpg,4,Interior image 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
american-bacon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9780820375403-4.jpg,5,Interior image 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
american-bacon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9780820375403-5.jpg,6,Interior image 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ammazza,AMMAZZA!:: Culinary Adventures from New York to Italy and Back Again,"<p><b>This is a *Featured Preorder for a title releasing on May 12, 2026.</b></p><p><em><strong>This is what the publisher tells us about this book:</strong></em></p>
<b>The long-awaited cookbook from four-time James Beard Award nominee Chef Hillary Sterling, featuring over 100 seasonal recipes showcasing the delicious dishes that have earned her acclaim at the helm of Ci Siamo, Danny Meyer’s “flat-out fantastic” (<i>The New York Times</i>) restaurant.</b><br><br>A celebration of a life devoted to food, <i>Ammazza!</i> blends story, substance, and soul. Raised in a tight-knit Jewish household in Sheepshead Bay, Brooklyn—where her grandmother kept kosher downstairs and her family broke the rules upstairs—Sterling shares over 100 recipes that trace her path from her early days as a young cook, to her later love affair with Italian cooking, and her career spent in the kitchens of New York’s most beloved restaurants.<br> <br>Following the rhythm of the seasons, these recipes showcase Sterling’s brilliance with flavor. Interspersed are menus rooted in family and tradition, with inspired twists—she brings an Italian spin to the Passover table, and shares a Mexican Thanksgiving feast influenced by her time at Bobby Flay’s Mesa Grill.<br> <br>A standout cookbook for home cooks, <i>Ammazza!</i> offers smart, encouraging tips throughout—from how to clean artichokes to frying at home without fear.<br> <br>Whether you’re searching for the best pasta cookbook, a gift for foodies, or a coffee table cookbook as beautiful as it is practical, <i>Ammazza!</i> is packed with bold recipes, culinary storytelling, and the know-how of a chef who cooks with both precision and heart.</div></div>
<p><b>* Featured Preorder books earn you an <i>extra </i>150 rewards points, good for $5 off a future purchase. If you're not already a member of our rewards program you can <a href=""https://www.kitchenartsandletters.com/pages/reward""><b>learn more about all the ways to earn points and sign up here.</b></a> It's as simple as creating a store account.</b></p>",SCR,Media > Books > Print Books,BOOK,"Ln_En, 05-12-2026, C",FALSE,Title,Default,,,,,,,,Hillary Sterling with Theresa Gambacorta,2268,shopify,continue,manual,40.00,,TRUE,TRUE,,,,,9781668068717,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9781668068717.jpg,1,Book Cover: AMMAZZA!,,AMMAZZA!,,Media > Books,,,,new,FALSE,,,,,,Hillary Sterling with Theresa Gambacorta,Hardcover,ammazza,,English,,,,,2026-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,4901.99,,draft
ammazza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9781668068717-1.jpg,2,Interior image 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ammazza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9781668068717-2.jpg,3,Interior image 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ammazza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9781668068717-3.jpg,4,Interior image 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ammazza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9781668068717-4.jpg,5,Interior image 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ammazza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9781668068717-5.jpg,6,Interior image 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beatrix-bakes,BEATRIX BAKES:: 15th Anniversary Edition:,"<p><b>This is a *Featured Preorder for a title releasing on March 24, 2026.</b></p><p><em><strong>This is what the publisher tells us about this book:</strong></em></p>
<p><b>Embrace the unparalleled joys of baking seasonally and creatively with this mouth-watering collection of recipes from Melbourne’s tiny beloved bakery, Beatrix. This new edition – released to mark the 15th anniversary of Beatrix’s opening – brings fresh life to the classic with a vibrant new cover and the same joyful, irreverent spirit that made it a modern baking icon.</b></p></div><div><p><b>For Natalie Paull, baking is a gift. It’s also a powerful elixir of pleasure, connection, generosity and joy.</b> <i><b>Beatrix Bakes</b></i> <b>celebrates baking’s sweetest moments with more than seventy recipes designed to inspire bakers of all kinds to mix and match, adapt and personalize – whether it’s a Lemon curd cream crepe cake or Pecan maple cinnamon scrolls.</b></p><p>Timed to coincide with the 15th anniversary of the opening of Nat’s beloved bakery, this new edition of <i>Beatrix Bakes</i> breathes fresh life into the classic with a vibrant new cover – a tribute to the legacy of Beatrix and the community it built.</p><p>Sparkling with Natalie’s distinct voice, and packaged with full-color photography, illustrations and rock-solid tips for a perfect bake, <i>Beatrix Bakes</i> includes 'Adaptrix' suggestions (offering ways readers might do things differently, including short cuts) and is peppered with infographics to help them follow their baking heart. Try The Cheesecake (That You Will Love The Most) with a crumb base, or a bought biscuit base, or no base, or a sponge base – even a failed cookie base! Then choose a topping: sour cream, crumb, fruity bits – the possibilities are endless.</p><p>The recipes are divided across eight chapters: Doughs, pastries &amp; crusts; Tarts, pies, a crostata &amp; a galette; The cake list; One in the hand; Yeasted bakes; Fruit-full; Creams, custards, fillings, glazes and buttercreams; and Finishing touches.</p><p>While Natalie’s creations are inspired by classics the world over, they’re joyfully irreverent too – and in <i>Beatrix Bakes</i>, she shows readers that once the foundations are right, the true magic lies in a willingness to play (with the insurance of her clever ideas and back-up plans always close at hand).</p><p><i>Beatrix Bakes</i> will guide anyone who loves the adventure of baking to perfect their skills – and break the baking mold.</p></div></div>
<p><b>* Featured Preorder books earn you an <i>extra </i>150 rewards points, good for $5 off a future purchase. If you're not already a member of our rewards program you can <a href=""https://www.kitchenartsandletters.com/pages/reward""><b>learn more about all the ways to earn points and sign up here.</b></a> It's as simple as creating a store account.</b></p>",HGUS,Media > Books > Print Books,BOOK,"Ln_En, 03-24-2026, C",FALSE,Title,Default,,,,,,,,Natalie Paull,2268,shopify,continue,manual,32.99,,TRUE,TRUE,,,,,9781761452642,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9781761452642.jpg,1,Book Cover: BEATRIX BAKES,,BEATRIX BAKES,,Media > Books,,,,new,FALSE,,,,,,Natalie Paull,Hardcover,beatrix-bakes,,English,,,,,2026-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,4901.99,,draft
beatrix-bakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9781761452642-1.jpg,2,Interior image 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beatrix-bakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0297/5046/0549/files/9781761452642-2.jpg,3,Interior image 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
