order_id,line_item_id,product_id,variant_id,qty,created_at
1999285780613,4444742025349,,,1,2020-02-13T21:28:39Z
1999288041605,4444745859205,,,1,2020-02-13T21:30:58Z
1999288041605,4444745891973,,,1,2020-02-13T21:30:58Z
1999288041605,4444745924741,,,1,2020-02-13T21:30:58Z
1999290826885,4444750151813,,,1,2020-02-13T21:34:16Z
1999290826885,4444750184581,,,1,2020-02-13T21:34:16Z
2022479102085,4492398329989,,,1,2020-02-25T22:48:20Z
2022494142597,4492421202053,,,1,2020-02-25T22:52:26Z
2022501286021,4492433490053,,,1,2020-02-25T22:54:25Z
2031849865349,4508358574213,,,1,2020-02-29T20:33:14Z
2930823069829,6352662888581,,,1,2021-01-03T23:06:17Z
2930823069829,6352662921349,,,1,2021-01-03T23:06:17Z
2930823069829,6352662954117,,,1,2021-01-03T23:06:17Z
2930823069829,6352662986885,,,1,2021-01-03T23:06:17Z
3643803959429,9596602155141,,,1,2021-03-01T17:44:21Z
3643813167237,9596623421573,,,1,2021-03-01T17:54:37Z
3646233739397,9601351745669,,,1,2021-03-03T15:30:18Z
3646235803781,9601355415685,,,1,2021-03-03T15:32:28Z
3650056421509,9608959590533,,,1,2021-03-06T18:08:27Z
3652142628997,9613139443845,5238731964549,34812461580421,1,2021-03-08T15:10:10Z
3652148494469,9613150027909,6536873869445,39252038549637,1,2021-03-08T15:16:26Z
3652150624389,9613154746501,6537340485765,39254386311301,1,2021-03-08T15:18:40Z
3652154327173,9613161955461,6536415740037,39250586435717,1,2021-03-08T15:21:54Z
3652154327173,9613161988229,6536873869445,39252038549637,1,2021-03-08T15:21:54Z
3652156489861,9613166477445,6536415641733,39250586337413,4,2021-03-08T15:24:09Z
3652159340677,9613171982469,5238890365061,34812690923653,1,2021-03-08T15:27:26Z
3652161536133,9613176307845,6536415641733,39250586337413,2,2021-03-08T15:29:39Z
3652163469445,9613180698757,6536415641733,39250586337413,1,2021-03-08T15:31:22Z
3652171858053,9613197017221,5238853369989,34812602187909,1,2021-03-08T15:39:49Z
3652175691909,9613205536901,5238853369989,34812602187909,1,2021-03-08T15:43:03Z
3652178018437,9613209731205,5238743105669,34812474982533,1,2021-03-08T15:45:42Z
3652181557381,9613217202309,5238868705413,34812619718789,1,2021-03-08T15:48:54Z
3652187193477,9613229129861,6538671784069,39260611149957,1,2021-03-08T15:54:16Z
3652192108677,9613239648389,5238852812933,34812601499781,1,2021-03-08T16:00:02Z
3652192108677,9613239681157,5238904750213,34812721954949,1,2021-03-08T16:00:02Z
3652192108677,9613239713925,5238738321541,34812469608581,1,2021-03-08T16:00:02Z
3652192108677,9613239746693,5238805102725,34812546416773,1,2021-03-08T16:00:02Z
3652192108677,9613239779461,5238733471877,34812463382661,1,2021-03-08T16:00:02Z
3652192108677,9613239812229,5238794387589,34812533735557,1,2021-03-08T16:00:02Z
3652192108677,9613239844997,5238799368325,34812539502725,1,2021-03-08T16:00:02Z
3652192108677,9613239877765,5238753656965,34812487204997,1,2021-03-08T16:00:02Z
3652192108677,9613239910533,5238824075397,34812568764549,1,2021-03-08T16:00:02Z
3652192108677,9613239943301,5238826401925,34812571615365,1,2021-03-08T16:00:02Z
3652192108677,9613239976069,5238818144389,34812562079877,1,2021-03-08T16:00:02Z
3652192108677,9613240008837,5238761521285,34812496216197,1,2021-03-08T16:00:02Z
3652192108677,9613240041605,5238919823493,34812764586117,1,2021-03-08T16:00:02Z
3652192108677,9613240074373,5238828171397,34812573614213,1,2021-03-08T16:00:02Z
3652195647621,9613247807621,6536415641733,39250586337413,1,2021-03-08T16:04:31Z
3652223434885,9613295616133,5238829383813,34812574957701,1,2021-03-08T16:27:48Z
3652223434885,9613295681669,5238907994245,34812728508549,1,2021-03-08T16:27:48Z
3652223434885,9613295747205,5238785376389,34812523446405,1,2021-03-08T16:27:48Z
3652225925253,9613300826245,5238785376389,34812523446405,1,2021-03-08T16:29:48Z
3652231463045,9613309837445,,,1,2021-03-08T16:33:39Z
3652510023813,9613876527237,5238841180293,34812588490885,1,2021-03-08T20:33:48Z
3652513169541,9613883113605,6537340485765,39254386311301,1,2021-03-08T20:37:04Z
3652513169541,9613883146373,6536872493189,39252029046917,1,2021-03-08T20:37:04Z
3652513169541,9613883179141,6538670342277,39260598468741,1,2021-03-08T20:37:04Z
3652515430533,9613888749701,5238921920645,34812769763461,1,2021-03-08T20:39:43Z
3652517068933,9613892157573,5238912843909,34812736733317,1,2021-03-08T20:41:34Z
3652528341125,9613915029637,,,1,2021-03-08T20:54:01Z
3652528341125,9613915062405,5238890889349,34812692004997,1,2021-03-08T20:54:01Z
3652580343941,9614037975173,,,1,2021-03-08T21:51:57Z
3652590928005,9614067761285,5238901014661,34812713959557,1,2021-03-08T22:05:10Z
3653269717125,9615391916165,5238732128389,34812461777029,1,2021-03-09T15:37:03Z
3653269717125,9615391948933,5238736322693,34812467118213,1,2021-03-09T15:37:03Z
3653269717125,9615391981701,5238797533317,34812537372805,1,2021-03-09T15:37:03Z
3653269717125,9615392014469,5238909272197,34812731490437,1,2021-03-09T15:37:03Z
3653269717125,9615392047237,5238923100293,34812772614277,1,2021-03-09T15:37:03Z
3653269717125,9615392080005,5238854385797,34812603596933,1,2021-03-09T15:37:03Z
3653269717125,9615392112773,5238757392517,34812491497605,1,2021-03-09T15:37:03Z
3653269717125,9615392145541,5238729277573,34812458467461,1,2021-03-09T15:37:03Z
3653269717125,9615392178309,6537349988485,39254426550405,1,2021-03-09T15:37:03Z
