order_id,line_item_id,product_id,variant_id,qty,created_at
1999285780613,4444742025349,NULL,NULL,1,2020-02-13T21:28:39Z
1999288041605,4444745859205,NULL,NULL,1,2020-02-13T21:30:58Z
1999288041605,4444745891973,NULL,NULL,1,2020-02-13T21:30:58Z
1999288041605,4444745924741,NULL,NULL,1,2020-02-13T21:30:58Z
1999290826885,4444750151813,NULL,NULL,1,2020-02-13T21:34:16Z
1999290826885,4444750184581,NULL,NULL,1,2020-02-13T21:34:16Z
2022479102085,4492398329989,NULL,NULL,1,2020-02-25T22:48:20Z
2022494142597,4492421202053,NULL,NULL,1,2020-02-25T22:52:26Z
2022501286021,4492433490053,NULL,NULL,1,2020-02-25T22:54:25Z
2031849865349,4508358574213,NULL,NULL,1,2020-02-29T20:33:14Z
2930823069829,6352662888581,NULL,NULL,1,2021-01-03T23:06:17Z
2930823069829,6352662921349,NULL,NULL,1,2021-01-03T23:06:17Z
2930823069829,6352662954117,NULL,NULL,1,2021-01-03T23:06:17Z
2930823069829,6352662986885,NULL,NULL,1,2021-01-03T23:06:17Z
3643803959429,9596602155141,NULL,NULL,1,2021-03-01T17:44:21Z
3643813167237,9596623421573,NULL,NULL,1,2021-03-01T17:54:37Z
3646233739397,9601351745669,NULL,NULL,1,2021-03-03T15:30:18Z
3646235803781,9601355415685,NULL,NULL,1,2021-03-03T15:32:28Z
3650056421509,9608959590533,NULL,NULL,1,2021-03-06T18:08:27Z
3652142628997,9613139443845,NULL,NULL,1,2021-03-08T15:10:10Z
3652148494469,9613150027909,NULL,NULL,1,2021-03-08T15:16:26Z
3652150624389,9613154746501,NULL,NULL,1,2021-03-08T15:18:40Z
3652154327173,9613161955461,NULL,NULL,1,2021-03-08T15:21:54Z
3652154327173,9613161988229,NULL,NULL,1,2021-03-08T15:21:54Z
3652156489861,9613166477445,NULL,NULL,4,2021-03-08T15:24:09Z
3652159340677,9613171982469,NULL,NULL,1,2021-03-08T15:27:26Z
3652161536133,9613176307845,NULL,NULL,2,2021-03-08T15:29:39Z
3652163469445,9613180698757,NULL,NULL,1,2021-03-08T15:31:22Z
3652171858053,9613197017221,NULL,NULL,1,2021-03-08T15:39:49Z
3652175691909,9613205536901,NULL,NULL,1,2021-03-08T15:43:03Z
3652178018437,9613209731205,NULL,NULL,1,2021-03-08T15:45:42Z
3652181557381,9613217202309,NULL,NULL,1,2021-03-08T15:48:54Z
3652187193477,9613229129861,NULL,NULL,1,2021-03-08T15:54:16Z
3652192108677,9613239648389,NULL,NULL,1,2021-03-08T16:00:02Z
3652192108677,9613239681157,NULL,NULL,1,2021-03-08T16:00:02Z
3652192108677,9613239713925,NULL,NULL,1,2021-03-08T16:00:02Z
3652192108677,9613239746693,NULL,NULL,1,2021-03-08T16:00:02Z
3652192108677,9613239779461,NULL,NULL,1,2021-03-08T16:00:02Z
3652192108677,9613239812229,NULL,NULL,1,2021-03-08T16:00:02Z
3652192108677,9613239844997,NULL,NULL,1,2021-03-08T16:00:02Z
3652192108677,9613239877765,NULL,NULL,1,2021-03-08T16:00:02Z
3652192108677,9613239910533,NULL,NULL,1,2021-03-08T16:00:02Z
3652192108677,9613239943301,NULL,NULL,1,2021-03-08T16:00:02Z
3652192108677,9613239976069,NULL,NULL,1,2021-03-08T16:00:02Z
3652192108677,9613240008837,NULL,NULL,1,2021-03-08T16:00:02Z
3652192108677,9613240041605,NULL,NULL,1,2021-03-08T16:00:02Z
3652192108677,9613240074373,NULL,NULL,1,2021-03-08T16:00:02Z
3652195647621,9613247807621,NULL,NULL,1,2021-03-08T16:04:31Z
3652223434885,9613295616133,NULL,NULL,1,2021-03-08T16:27:48Z
3652223434885,9613295681669,NULL,NULL,1,2021-03-08T16:27:48Z
3652223434885,9613295747205,NULL,NULL,1,2021-03-08T16:27:48Z
3652225925253,9613300826245,NULL,NULL,1,2021-03-08T16:29:48Z
3652231463045,9613309837445,NULL,NULL,1,2021-03-08T16:33:39Z
3652510023813,9613876527237,NULL,NULL,1,2021-03-08T20:33:48Z
3652513169541,9613883113605,NULL,NULL,1,2021-03-08T20:37:04Z
3652513169541,9613883146373,NULL,NULL,1,2021-03-08T20:37:04Z
3652513169541,9613883179141,NULL,NULL,1,2021-03-08T20:37:04Z
3652515430533,9613888749701,NULL,NULL,1,2021-03-08T20:39:43Z
3652517068933,9613892157573,NULL,NULL,1,2021-03-08T20:41:34Z
3652528341125,9613915029637,NULL,NULL,1,2021-03-08T20:54:01Z
3652528341125,9613915062405,NULL,NULL,1,2021-03-08T20:54:01Z
3652580343941,9614037975173,NULL,NULL,1,2021-03-08T21:51:57Z
3652590928005,9614067761285,NULL,NULL,1,2021-03-08T22:05:10Z
3653269717125,9615391916165,NULL,NULL,1,2021-03-09T15:37:03Z
3653269717125,9615391948933,NULL,NULL,1,2021-03-09T15:37:03Z
3653269717125,9615391981701,NULL,NULL,1,2021-03-09T15:37:03Z
3653269717125,9615392014469,NULL,NULL,1,2021-03-09T15:37:03Z
3653269717125,9615392047237,NULL,NULL,1,2021-03-09T15:37:03Z
3653269717125,9615392080005,NULL,NULL,1,2021-03-09T15:37:03Z
3653269717125,9615392112773,NULL,NULL,1,2021-03-09T15:37:03Z
3653269717125,9615392145541,NULL,NULL,1,2021-03-09T15:37:03Z
3653269717125,9615392178309,NULL,NULL,1,2021-03-09T15:37:03Z
3653272273029,9615397716101,NULL,NULL,1,2021-03-09T15:39:11Z
3653274632325,9615401582725,NULL,NULL,1,2021-03-09T15:41:06Z
3653278302341,9615408398469,NULL,NULL,1,2021-03-09T15:44:31Z
3653280825477,9615413706885,NULL,NULL,1,2021-03-09T15:47:10Z
3653285314693,9615422783621,NULL,NULL,1,2021-03-09T15:51:40Z
3653288296581,9615429795973,NULL,NULL,1,2021-03-09T15:54:57Z
3653342724229,9615532589189,NULL,NULL,1,2021-03-09T16:46:44Z
3653391941765,9615635251333,NULL,NULL,1,2021-03-09T17:38:26Z
3653391941765,9615635284101,NULL,NULL,1,2021-03-09T17:38:26Z
3653391941765,9615635316869,NULL,NULL,2,2021-03-09T17:38:26Z
3653391941765,9615635349637,NULL,NULL,1,2021-03-09T17:38:26Z
3653391941765,9615635382405,NULL,NULL,1,2021-03-09T17:38:26Z
3653391941765,9615635415173,NULL,NULL,1,2021-03-09T17:38:26Z
3653395644549,9615643476101,NULL,NULL,1,2021-03-09T17:42:34Z
3653422874757,9615699345541,NULL,NULL,1,2021-03-09T18:08:53Z
3653422874757,9615699378309,NULL,NULL,1,2021-03-09T18:08:53Z
3653422874757,9615699411077,NULL,NULL,2,2021-03-09T18:08:53Z
3653471043717,9615771172997,NULL,NULL,1,2021-03-09T18:35:10Z
3653471043717,9615771205765,NULL,NULL,1,2021-03-09T18:35:10Z
3653471043717,9615771238533,NULL,NULL,1,2021-03-09T18:35:10Z
3653485068421,9615804596357,NULL,NULL,1,2021-03-09T18:48:42Z
3653489590405,9615814459525,NULL,NULL,1,2021-03-09T18:53:46Z
